2026-04-02 10:52:49.539260 | example.com. | ('127.0.0.1', 50061) | forward | 39.89 ms
2026-04-02 10:53:52.011747 | facebook.com. | ('127.0.0.1', 56102) | blocked | 2.87 ms
2026-04-02 10:53:52.012688 | intranet.local. | ('127.0.0.1', 56103) | local-db | 0.15 ms
2026-04-02 10:53:52.053633 | example.com. | ('127.0.0.1', 56104) | forward | 40.09 ms
2026-04-02 10:53:52.054463 | example.com. | ('127.0.0.1', 56106) | cache | 0.14 ms
2026-04-02 11:07:46.818513 | 1.0.0.127.in-addr.arpa. | ('127.0.0.1', 61841) | forward | 12.68 ms
2026-04-02 11:07:46.834193 | facebook.com.pdc.local. | ('127.0.0.1', 61843) | forward | 14.15 ms
2026-04-02 11:07:46.834732 | facebook.com.pdc.local. | ('127.0.0.1', 61845) | cache | 0.13 ms
2026-04-02 11:07:48.852845 | facebook.com. | ('127.0.0.1', 50580) | blocked | 6.98 ms
2026-04-02 11:07:48.853274 | facebook.com. | ('127.0.0.1', 50581) | blocked | 0.17 ms
2026-04-02 11:08:00.243258 | facebook.com. | ('127.0.0.1', 62694) | blocked | 0.16 ms
2026-04-02 11:08:42.571106 | 1.0.0.127.in-addr.arpa. | ('127.0.0.1', 55876) | cache | 0.22 ms
2026-04-02 11:08:42.573882 | facebook.com.pdc.local. | ('127.0.0.1', 55877) | cache | 0.16 ms
2026-04-02 11:08:42.574387 | facebook.com.pdc.local. | ('127.0.0.1', 55878) | cache | 0.10 ms
2026-04-02 11:08:44.578705 | facebook.com. | ('127.0.0.1', 60896) | blocked | 0.52 ms
2026-04-02 11:08:44.580066 | facebook.com. | ('127.0.0.1', 60897) | blocked | 0.40 ms
2026-04-02 11:08:59.671683 | 1.0.0.127.in-addr.arpa. | ('127.0.0.1', 60898) | forward | 16.50 ms
2026-04-02 11:08:59.689477 | example.com.pdc.local. | ('127.0.0.1', 60900) | forward | 15.60 ms
2026-04-02 11:08:59.690153 | example.com.pdc.local. | ('127.0.0.1', 60902) | cache | 0.13 ms
2026-04-02 11:09:01.741901 | example.com. | ('127.0.0.1', 60903) | forward | 38.65 ms
2026-04-02 11:09:01.747350 | example.com. | ('127.0.0.1', 60905) | cache | 0.38 ms
2026-04-02 11:20:00.448346 | 1.0.0.127.in-addr.arpa. | ('127.0.0.1', 54323) | forward | 18.55 ms
2026-04-02 11:20:00.476904 | intranet.local.pdc.local. | ('127.0.0.1', 54325) | forward | 27.22 ms
2026-04-02 11:20:00.478085 | intranet.local.pdc.local. | ('127.0.0.1', 54327) | cache | 0.11 ms
2026-04-02 11:20:02.485524 | intranet.local. | ('127.0.0.1', 54328) | local-db | 0.57 ms
2026-04-02 11:20:02.486283 | intranet.local. | ('127.0.0.1', 54329) | cache | 0.20 ms
2026-04-02 11:20:45.192294 | 1.0.0.127.in-addr.arpa. | ('127.0.0.1', 53789) | cache | 0.13 ms
2026-04-02 11:20:45.237683 | instagram.com.pdc.local. | ('127.0.0.1', 53790) | forward | 43.83 ms
2026-04-02 11:20:45.238635 | instagram.com.pdc.local. | ('127.0.0.1', 53792) | cache | 0.07 ms
2026-04-02 11:20:47.242499 | instagram.com. | ('127.0.0.1', 53793) | blocked | 0.81 ms
2026-04-02 11:20:47.243245 | instagram.com. | ('127.0.0.1', 53794) | blocked | 0.31 ms
